INT	INT	INT	INT	STRING	STRING	STRING	INT	INT
INT	INT	INT	INT	STRING	STRING	STRING	INT	INT
1	0	33	130	Bän ð°: Ðôn Hoàng		V§n chuy¬n	99	2
2	0	159	287	Bän ð°: Tung S½n		V§n chuy¬n	99	2
3	0	286	129	Bän ð°: NhÕn Nam		V§n chuy¬n	99	2
4	0	59	83	A TØ	Nhi®m vø k¸ch tình		7	5
5	0	160	134	Châu Thiên Sß	Ðào Lý Thiên HÕ 	NV	7	5
6	0	234	140	Ngô ThØ Nhân	Bát Phß½ng Lai Khách	NV	7	5
7	0	118	184	L§p Ph°n	HÕo Ng÷c Næ Hi®p	NV	7	5
8	0	252	62	B¯c H¯i KÏ		NV	7	5
9	0	113	75	Ba Thiên ThÕch			7	5
10	0	177	102	Khâu Bích Ð£c	Ái Th¥n	Ái Th¥n	7	5
11	0	136	164	BÕch Manh Sinh	Dßþc ðiªm lão bän	Bán thu¯c	6	3
12	0	136	169	BÕch Dînh Minh	ÐÕi sß dßþc lý h÷c	 Dßþc lý 	5	4
13	0	133	164	BÕch Dînh Trung	Dßþc ðiªm lão bän	Bán thu¯c	6	3
14	0	253	111	Bäo Châu			7	5
15	0	122	74	B¡c Ði«u Trung Th¡ng			7	5
16	0	90	208	T¤t Thång			7	5
17	0	158	32	Sái Bi®n	Bang hµi ð°ng minh	Ð°ng minh	5	4
18	0	125	97	Thái Bính Th¥n			7	5
19	0	126	96	Thái Kinh			7	5
20	0	144	68	Tr¥n Phu Chi	Danh xßng kªt bái	Kªt bái	5	4
21	0	238	152	Tr¥n Th÷ Ðình			7	5
22	0	83	149	Tr¥n tiên sinh	Ti«n Trang chß·ng qu¥y	Ti«n trang	5	4
23	0	172	90	Tr¥n Vînh Nhân	Lînh 2 l¥n kinh nghi®m	Lînh song	5	4
24	0	98	205	Trình An			7	5
25	0	88	205	Trình HÕo			7	5
26	0	85	208	Trình Di			7	5
27	0	83	155	ChØ tiên sinh	Ti«n Trang chß·ng qu¥y	Ti«n trang	5	4
28	0	220	200	Xuân Nhi			7	5
29	0	230	176	Ð½n Chính			7	5
30	0	177	176	Ð±ng Xß½ng	Ti¬u nh¸ cüa ti®m trang sÑc	Trang sÑc	6	3
31	0	158	181	Ðông Ðông	GØi bán vàng và nguyên bäo	GØi bán 	5	4
32	0	255	134	Ð§u Ngô Ð°ng	Giang h° du y	Khôi phøc	5	4
33	0	140	95	PhÕm Thu¥n Nhân	Quän lý bang hµi	Bang hµi	5	2
34	0	138	140	PhÕm Th¯ng	TØu ðiªm lão bän	Thñc ph¦m	6	3
35	0	142	113	PhÕm Di Thành	Di dân tiªp ðãi sÑ	Di dân 	5	4
36	0	209	152	Phong H° TØ	Sß phø vû khí trang b¸	Cß¶ng hóa	5	4
37	0	87	155	Phùng tiên sinh	Ti«n Trang chß·ng qu¥y	Ti«n trang	5	4
38	0	155	174	Phùng Ðào Thiªt	ÐÕi sß gia công nguyên li®u	Gia công	5	4
39	0	193	172	Phù Mçn Chi	ÐÕi sß may vá	C¡t may	5	4
40	0	84	116	Cái Thiên Minh			7	5
41	0	198	58	Cao C¥u			7	5
42	0	110	162	Cung Thái L®	Âm Kim Bäo Sß½ng sÑ giä	Ð±i	5	4
43	0	268	46	Quan Hán Th÷	Xóa nhân v§t	Xóa nhân v§t	5	4
44	0	162	237	Quan Th¡ng			7	5
45	0	175	64	Quách Thiên Tín			7	5
46	0	161	244	Hàn Ngân Di®p	Giang h° du y	Khôi phøc	5	4
47	0	248	129	Hà Linh Chi	Thþ nhuµm tóc	Nhuµm tóc	5	4
48	0	95	152	Hà Sinh Tài	Thß½ng nhân nguyên li®u	NL	6	3
49	0	255	106	Hà Sinh Phú	Thß½ng nhân nguyên li®u	NL	6	3
50	0	113	63	Hách Liên Thiªt Thø			7	5
51	0	46	61	Hoa Tiên			7	5
52	0	232	181	Hoài Bính			7	5
53	0	81	117	C± Uy Tín			7	5
54	0	179	177	Giä Tác Trân	Trang sÑc ðiªm chß·ng qu¥y	Trang sÑc	6	3
55	0	127	154	Khß½ng Lý	TØu ðiªm lão bän	Thñc ph¦m	6	3
56	0	207	184	Khß½ng Ngß	Hu¤n luy®n kÛ nång câu cá	 Câu cá 	5	4
57	0	205	172	Kim Løc Gia	Ti«n trang tiªp Ñng sÑ	Ti«n trang	5	2
58	0	109	73	Kim Tä Hoán			7	5
59	0	230	215	Khang Mçn			7	5
60	0	65	134	Kha Bách Nhân	Giang h° du y	Khôi phøc	5	4
61	0	265	44	Kh±ng Tông Uyên	Xóa bö v§t ph¦m nhi®m vø	Xóa v§t ph¦m	5	4
62	0	63	147	Lang phu nhân	Chu bäo thß½ng nhân	Bäo thÕch	6	3
63	0	256	139	Lôi Hoành			7	5
64	0	134	152	Lý ÐÕi ChuÖ	ÐÕi sß n¤u ån	 N¤u nß¾ng 	5	4
65	0	249	111	Lý ma ma			7	5
66	0	253	112	Lý Sß Sß			7	5
