INT	INT	STRING	STRING	STRING	INT	INT	INT	STRING	INT
ID	RaceID	ModelFile	ShowName$1$	MaterialName	ÏûºÄÎïÆ·ID	ÏûºÄÎïÆ·ÊýÁ¿	ÊÇ·ñÔÚ³õÊ¼Ê±¿ÉÑ¡(0±íÊ¾ÓÎÏ·ÖÐ£¬³õÊ¼Ê±¶¼²»¿ÉÑ¡£¬1±íÊ¾Ö»ÓÐ³õÊ¼Ê±¿ÉÑ¡£¬2±íÊ¾Ö»ÓÐÔÚÓÎÏ·ÖÐ¿ÉÑ¡£¬3±íÊ¾ÓÎÏ·ÖÐ£¬³õÊ¼Ê±¶¼¿ÉÑ¡)	Í·ÏñµÄÍ¼±ê	ÏûºÄ½ðÇ®
0	0	Å®Ö÷½ÇÍ··¢01.mesh	Lßu vân phát	Å®Ö÷½ÇÍ··¢01	32000000	1	2	PeiFang_5	50000
1	0	Å®Ö÷½ÇÍ··¢02.mesh	Du tiên phát	Å®Ö÷½ÇÍ··¢02	32000000	1	3	PeiFang_5	50000
2	0	Å®Ö÷½ÇÍ··¢03.mesh	Lßu tß phát	Å®Ö÷½ÇÍ··¢03	32000000	1	2	PeiFang_5	50000
3	0	Å®Ö÷½ÇÍ··¢04.mesh	Cänh dao phát	Å®Ö÷½ÇÍ··¢04	32000000	1	2	PeiFang_5	50000
4	0	Å®Ö÷½ÇÍ··¢05.mesh	Ði®p vû phát	Å®Ö÷½ÇÍ··¢05	32000000	1	2	PeiFang_5	50000
5	1	ÄÐÖ÷½ÇÍ··¢01.mesh	Lßu vân phát	ÄÐÖ÷½ÇÍ··¢01	32000000	1	3	PeiFang_5	50000
6	1	ÄÐÖ÷½ÇÍ··¢02.mesh	Du tiên phát	ÄÐÖ÷½ÇÍ··¢02	32000000	1	2	PeiFang_5	50000
7	1	ÄÐÖ÷½ÇÍ··¢03.mesh	Lßu tß phát	ÄÐÖ÷½ÇÍ··¢03	32000000	1	2	PeiFang_5	50000
8	1	ÄÐÖ÷½ÇÍ··¢04.mesh	Cänh dao phát	ÄÐÖ÷½ÇÍ··¢04	32000000	1	2	PeiFang_5	50000
9	1	ÄÐÖ÷½ÇÍ··¢05.mesh	Ði®p vû phát	ÄÐÖ÷½ÇÍ··¢05	32000000	1	2	PeiFang_5	50000
10	1	ÄÐÖ÷½ÇÍ··¢06.mesh	Trß¶ng Ñc phát	ÄÐÖ÷½ÇÍ··¢06	32000000	1	2	PeiFang_5	50000
11	1	ÄÐÖ÷½ÇÍ··¢07.mesh	Hoàn häi phát	ÄÐÖ÷½ÇÍ··¢07	32000000	1	2	PeiFang_5	50000
12	1	ÄÐÖ÷½ÇÍ··¢08.mesh	T¤n hoa phát	ÄÐÖ÷½ÇÍ··¢08	32000000	1	3	PeiFang_5	50000
13	1	ÄÐÖ÷½ÇÍ··¢09.mesh	LÕc huy«n phát	ÄÐÖ÷½ÇÍ··¢09	32000000	1	2	PeiFang_5	50000
14	1	ÄÐÖ÷½ÇÍ··¢14.mesh	Bäo miên phát	ÄÐÖ÷½ÇÍ··¢14	32000000	1	3	PeiFang_5	50000
15	0	Å®Ö÷½ÇÍ··¢06.mesh	Trß¶ng Ñc phát	Å®Ö÷½ÇÍ··¢06	32000000	1	2	PeiFang_5	50000
16	0	Å®Ö÷½ÇÍ··¢07.mesh	Hoàn häi phát	Å®Ö÷½ÇÍ··¢07	32000000	1	2	PeiFang_5	50000
17	0	Å®Ö÷½ÇÍ··¢08.mesh	T¤n hoa phát	Å®Ö÷½ÇÍ··¢08	32000000	1	3	PeiFang_5	50000
18	0	Å®Ö÷½ÇÍ··¢09.mesh	LÕc huy«n phát	Å®Ö÷½ÇÍ··¢09	32000000	1	2	PeiFang_5	50000
19	0	Å®Ö÷½ÇÍ··¢17.mesh	Bäo miên phát	Å®Ö÷½ÇÍ··¢17	32000000	1	3	PeiFang_5	50000
20	0	Å®Ö÷½ÇÍ··¢10.mesh	Sa phong phát	Å®Ö÷½ÇÍ··¢10	32000000	1	2	PeiFang_5	50000
21	0	Å®Ö÷½ÇÍ··¢11.mesh	Huy nguy®t phát	Å®Ö÷½ÇÍ··¢11	32000000	1	2	PeiFang_5	50000
22	0	Å®Ö÷½ÇÍ··¢12.mesh	Thiên kª phát	Å®Ö÷½ÇÍ··¢12	32000000	1	2	PeiFang_5	50000
23	0	Å®Ö÷½ÇÍ··¢13.mesh	Phßþng kª phát	Å®Ö÷½ÇÍ··¢13	32000000	1	2	PeiFang_5	50000
24	0	Å®Ö÷½ÇÍ··¢14.mesh	Nhân vân phát	Å®Ö÷½ÇÍ··¢14	32000000	1	2	PeiFang_5	50000
25	0	Å®Ö÷½ÇÍ··¢15.mesh	Vân t¤n phát	Å®Ö÷½ÇÍ··¢15	32000000	1	2	PeiFang_5	50000
26	0	Å®Ö÷½ÇÍ··¢16.mesh	Chuy tß phát	Å®Ö÷½ÇÍ··¢16	32000000	1	2	PeiFang_5	50000
27	0	Å®Ö÷½ÇÍ··¢18.mesh	Hành vân phát	Å®Ö÷½ÇÍ··¢18	32000000	1	2	PeiFang_5	50000
28	0	Å®Ö÷½ÇÍ··¢19.mesh	Thi«n dñc phát	Å®Ö÷½ÇÍ··¢19	32000000	1	2	PeiFang_5	50000
29	0	Å®Ö÷½ÇÍ··¢20.mesh	Phi yªn phát	Å®Ö÷½ÇÍ··¢20	32000000	1	2	PeiFang_5	50000
30	1	ÄÐÖ÷½ÇÍ··¢10.mesh	Sa phong phát	ÄÐÖ÷½ÇÍ··¢10	32000000	1	2	PeiFang_5	50000
31	1	ÄÐÖ÷½ÇÍ··¢11.mesh	Huy nguy®t phát	ÄÐÖ÷½ÇÍ··¢11	32000000	1	2	PeiFang_5	50000
32	1	ÄÐÖ÷½ÇÍ··¢12.mesh	Thiên kª phát	ÄÐÖ÷½ÇÍ··¢12	32000000	1	2	PeiFang_5	50000
33	1	ÄÐÖ÷½ÇÍ··¢13.mesh	Phßþng kª phát	ÄÐÖ÷½ÇÍ··¢13	32000000	1	2	PeiFang_5	50000
34	1	ÄÐÖ÷½ÇÍ··¢15.mesh	Nhân vân phát	ÄÐÖ÷½ÇÍ··¢15	32000000	1	2	PeiFang_5	50000
35	1	ÄÐÖ÷½ÇÍ··¢16.mesh	Vân t¤n phát	ÄÐÖ÷½ÇÍ··¢16	32000000	1	2	PeiFang_5	50000
36	1	ÄÐÖ÷½ÇÍ··¢17.mesh	Chuy tß phát	ÄÐÖ÷½ÇÍ··¢17	32000000	1	2	PeiFang_5	50000
37	1	ÄÐÖ÷½ÇÍ··¢18.mesh	Hành vân phát	ÄÐÖ÷½ÇÍ··¢18	32000000	1	2	PeiFang_5	50000
38	1	ÄÐÖ÷½ÇÍ··¢19.mesh	Thi«n dñc phát	ÄÐÖ÷½ÇÍ··¢19	32000000	1	2	PeiFang_5	50000
39	1	ÄÐÖ÷½ÇÍ··¢20.mesh	Phi yªn phát	ÄÐÖ÷½ÇÍ··¢20	32000000	1	2	PeiFang_5	50000
40	0	Å®Ö÷½ÇÍ··¢21.mesh	Lång vân phát	Å®Ö÷½ÇÍ··¢21	32000000	1	2	PeiFang_5	50000
41	0	Å®Ö÷½ÇÍ··¢22.mesh	DÕ hành phát	Å®Ö÷½ÇÍ··¢22	32000000	1	2	PeiFang_5	50000
42	0	Å®Ö÷½ÇÍ··¢23.mesh	Phiêu tuyªt phát	Å®Ö÷½ÇÍ··¢23	32000000	1	2	PeiFang_5	50000
43	0	Å®Ö÷½ÇÍ··¢24.mesh	Vân kªt phát	Å®Ö÷½ÇÍ··¢24	32000000	1	2	PeiFang_5	50000
44	1	ÄÐÖ÷½ÇÍ··¢21.mesh	Lång vân phát	ÄÐÖ÷½ÇÍ··¢21	32000000	1	2	PeiFang_5	50000
45	1	ÄÐÖ÷½ÇÍ··¢22.mesh	DÕ hành phát	ÄÐÖ÷½ÇÍ··¢22	32000000	1	2	PeiFang_5	50000
46	1	ÄÐÖ÷½ÇÍ··¢23.mesh	Phiêu tuyªt phát	ÄÐÖ÷½ÇÍ··¢23	32000000	1	2	PeiFang_5	50000
47	1	ÄÐÖ÷½ÇÍ··¢24.mesh	Vân kªt phát	ÄÐÖ÷½ÇÍ··¢24	32000000	1	2	PeiFang_5	50000
48	0	Å®Ö÷½ÇÍ··¢25.mesh	Minh y phát	Å®Ö÷½ÇÍ··¢25	32000000	1	2	PeiFang_5	50000
49	1	ÄÐÖ÷½ÇÍ··¢25.mesh	Minh y phát	ÄÐÖ÷½ÇÍ··¢25	32000000	1	2	PeiFang_5	50000
50	0	Å®Ö÷½ÇÍ··¢ÏÉÂÂÆæÔµ.mesh	Tiên læ phát	Å®Ö÷½ÇÍ··¢ÏÉÂÂÆæÔµ	32000000	1	2	PeiFang_5	50000
51	1	ÄÐÖ÷½ÇÍ··¢ÏÉÂÂÆæÔµ.mesh	Tiên læ phát	ÄÐÖ÷½ÇÍ··¢ÏÉÂÂÆæÔµ	32000000	1	2	PeiFang_5	50000
52	0	Å®Ö÷½ÇÍ··¢ÇåÁ¹.mesh	Tuyªt vû phát	Å®Ö÷½ÇÍ··¢ÇåÁ¹	32000000	1	2	PeiFang_5	50000
53	1	ÄÐÖ÷½ÇÍ··¢ÇåÁ¹.mesh	Tuyªt vû phát	ÄÐÖ÷½ÇÍ··¢ÇåÁ¹	32000000	1	2	PeiFang_5	50000
54	0	Å®Ö÷½ÇÍ··¢29.mesh	Ly mµng phát	Å®Ö÷½ÇÍ··¢29	32000000	1	2	PeiFang_5	50000
55	1	ÄÐÖ÷½ÇÍ··¢29.mesh	Ly mµng phát	ÄÐÖ÷½ÇÍ··¢29	32000000	1	2	PeiFang_5	50000
56	0	Å®Ö÷½ÇÍ··¢30.mesh	Phi bµc phát	Å®Ö÷½ÇÍ··¢30	32000000	1	2	PeiFang_5	50000
57	1	ÄÐÖ÷½ÇÍ··¢30.mesh	Phi bµc phát	ÄÐÖ÷½ÇÍ··¢30	32000000	1	2	PeiFang_5	50000
58	0	Å®Ö÷½ÇÍ··¢31.mesh	Lam vân phát	Å®Ö÷½ÇÍ··¢31	32000000	1	2	PeiFang_5	50000
59	1	ÄÐÖ÷½ÇÍ··¢31.mesh	Lam vân phát	ÄÐÖ÷½ÇÍ··¢31	32000000	1	2	PeiFang_5	50000
60	0	Å®Ö÷½ÇÍ··¢32.mesh	U±ng Cü Phát	Å®Ö÷½ÇÍ··¢32	32000000	1	2	PeiFang_5	50000
61	1	ÄÐÖ÷½ÇÍ··¢32.mesh	U±ng Cü Phát	ÄÐÖ÷½ÇÍ··¢32	32000000	1	2	PeiFang_5	50000
