INT	INT	STRING
INT	INT	STRING
298	1	Phiêu Phiêu Áp
299	1	Phiêu Phiêu Th¯
300	5	Th¯
301	5	Yªn TØ
302	5	Ô Quy
303	15	Tu¤t
304	15	Nhím
305	15	H¥u TØ
306	25	Tùng ThØ
307	25	Hoán Hùng
308	25	Anh Vû
309	35	Tích D¸ch
310	35	Bi¬n BÑc
311	35	Ðß¶ng Lang
312	35	NgÕc Ngß
313	45	Miêu Ð¥u ¿ng
314	45	Hoan
315	45	H±
316	45	Dã Trß
317	55	Bång T¢m
318	55	¿ng
319	55	Ðà Ði¬u
320	55	Báo
321	65	B¡c Cñc Hùng
322	65	Kh±ng Tß¾c
323	65	Kiªm Xï H±
324	65	Tinh Tinh
325	75	Tê Ngßu
326	75	Tuyªt Ðiêu
327	75	Kiªm Long
328	75	Bác Mã
329	85	S° Phøng
330	85	Niên Thú
331	85	Long Quy
332	85	Anh Chiêu
333	95	KÏ Lân
334	95	Giao Long
335	20	Sài Miêu
336	20	D§u
337	20	Áp TØ
338	20	S½n Dß½ng
339	20	Mao Lß
340	20	Nga
341	20	Bá Vß½ng Long
342	5	Xí Nga
343	75	ÐÕi ThØ
344	20	Áp ChuÖ Thú
345	5	Hþi
346	5	Thanh Oa
347	75	Ti¬u Tßþng
348	5	Tuyªt H°
349	25	Lang
600	65	Thìn
601	5	Long Miêu
602	45	Cß¶ng Long Miêu
603	55	Trân Long Miêu
604	65	Siêu Long Miêu
605	75	Th¥n Long Miêu
606	5	M£c Kính Miêu
607	45	Lßu Hành Miêu
608	55	Th¶i Thßþng Miêu
609	65	Ngçu Tßþng Miêu
610	75	Quán Quân Miêu
611	5	Tê Ði¬u
612	45	Linh Tê Ði¬u
613	55	Trân Tê Ði¬u
614	65	Siêu Tê Ði¬u
615	75	Th¥n Tê Ði¬u
616	5	Hùng Miêu
617	45	Cß¶ng Hùng Miêu
618	55	Trân Hùng Miêu
619	65	Siêu Hùng Miêu
620	75	Th¥n Hùng Miêu
621	5	Bàng giäi
622	45	Thanh Giäi
623	55	ÐÕi Áp Giäi
624	65	Tri«u Hành Giäi
625	75	Nhung Ngao Giäi
626	5	Ph¤n Ði®p
627	45	Ban Ði®p
628	55	Quyên Ði®p
629	65	Hoàn Ði®p
630	75	Phßþng Vî Ði®p
631	5	Oa Ngßu
632	45	Tráng Oa Ngßu
633	55	Trân Oa Ngßu
634	65	Siêu Oa Ngßu
635	75	Th¥n Oa Ngßu
636	5	Ðµc HÕt
637	45	Linh HÕt
638	55	Trân HÕt
639	65	Thiên HÕt
640	75	Ma HÕt
641	5	Ti¬u Mô
642	45	Tráng Mô
643	55	Trân Mô
644	65	Thánh Mô
645	75	Th¥n Mô
646	5	Giáp trùng
647	45	Cß¶ng Giáp trùng
648	55	Trân Giáp Trùng
649	65	Thánh Giáp Trùng
650	75	Th¥n Giáp Trùng
651	5	Ðß½ng H²
652	45	Linh Ðß½ng H²
653	55	Trân Ðß½ng H²
654	65	Thánh Ðß½ng H²
655	75	Th¥n Ðß½ng H²
656	65	Th¥n Xí Nga
657	45	Quai Xí Nga
658	55	Linh Xí Nga
659	65	Thánh Xí Nga
660	55	Hoä Tông ThØ
661	75	Viêm Hoä Tông ThØ
662	65	Huy«n Dñc Thú
663	75	Xuy Huy«n Dñc Thú
664	5	Thö ng÷c
665	45	HÕo Nguy®t Ng÷c Th¯
666	55	Thi«m Cung Ng÷c Th¯
667	65	H¢ng Nga Ng÷c Th¯
668	45	Tiêm Nha BÕo Long
669	55	Lþi Nha BÕo Long
670	65	Cang Nha BÕo Long
671	75	Huyªt Nha BÕo Long
750	5	Áp ChuÖ Thú
751	45	Áp ChuÖ Thú
752	55	Áp ChuÖ Thú
753	65	Áp ChuÖ Thú
754	75	Áp ChuÖ Thú
755	85	Áp ChuÖ Thú
756	95	Áp ChuÖ Thú
757	5	Tuyªt H°
758	45	Tuyªt H°
759	55	Tuyªt H°
760	65	Tuyªt H°
761	75	Tuyªt H°
762	85	Tuyªt H°
763	95	Tuyªt H°
764	5	Long Miêu
765	45	Long Miêu
766	55	Long Miêu
767	65	Long Miêu
768	75	Long Miêu
769	85	Long Miêu
770	95	Long Miêu
771	5	Tê Ði¬u
772	45	Tê Ði¬u
773	55	Tê Ði¬u
774	65	Tê Ði¬u
775	75	Tê Ði¬u
776	85	Tê Ði¬u
777	95	Tê Ði¬u
778	5	Hùng Miêu
779	45	Hùng Miêu
780	55	Hùng Miêu
781	65	Hùng Miêu
782	75	Hùng Miêu
783	85	Hùng Miêu
784	95	Hùng Miêu
785	5	Bàng giäi
786	45	Bàng giäi
787	55	Bàng giäi
788	65	Bàng giäi
789	75	Bàng giäi
790	85	Bàng giäi
791	95	Bàng giäi
792	5	H° Ði®p
793	45	H° Ði®p
794	55	H° Ði®p
795	65	H° Ði®p
796	75	H° Ði®p
797	85	H° Ði®p
798	95	H° Ði®p
799	5	Oa Ngßu
800	45	Oa Ngßu
801	55	Oa Ngßu
802	65	Oa Ngßu
803	75	Oa Ngßu
804	85	Oa Ngßu
805	95	Oa Ngßu
806	5	Hát TØ
807	45	Hát TØ
808	55	Hát TØ
809	65	Hát TØ
810	75	Hát TØ
811	85	Hát TØ
812	95	Hát TØ
813	5	Xuyên S½n Giáp
814	45	Xuyên S½n Giáp
815	55	Xuyên S½n Giáp
816	65	Xuyên S½n Giáp
817	75	Xuyên S½n Giáp
818	85	Lôi Lân
819	95	Xuyên S½n Giáp
820	5	ÐÕi Giáp Trùng
821	45	ÐÕi Giáp Trùng
822	55	ÐÕi Giáp Trùng
823	65	ÐÕi Giáp Trùng
824	75	ÐÕi Giáp Trùng
825	85	ÐÕi Giáp Trùng
826	95	ÐÕi Giáp Trùng
827	5	Ðß½ng H²
828	45	Ðß½ng H²
829	55	Ðß½ng H²
830	65	Ðß½ng H²
831	75	Ðß½ng H²
832	85	Ðß½ng H²
833	95	Ðß½ng H²
834	5	Häi T£c ThØ
835	45	Häi T£c ThØ
836	55	Häi T£c ThØ
837	65	Häi T£c ThØ
838	75	Häi T£c ThØ
839	85	Häi T£c ThØ
840	95	Häi T£c ThØ
841	5	Bäo Sß½ng Ð°ng TØ
842	45	Bäo Sß½ng Ð°ng TØ
843	55	Bäo Sß½ng Ð°ng TØ
844	65	Bäo Sß½ng Ð°ng TØ
845	75	Bäo Sß½ng Ð°ng TØ
846	85	Bäo Sß½ng Ð°ng TØ
847	95	Bäo Sß½ng Ð°ng TØ
848	5	Thø ÐÕi Hùng
849	45	Thø ÐÕi Hùng
850	55	Thø ÐÕi Hùng
851	65	Thø ÐÕi Hùng
852	75	Thø ÐÕi Hùng
853	85	Thø ÐÕi Hùng
854	95	Thø ÐÕi Hùng
856	5	Hoan LÕc Trß
857	45	Hoan LÕc Trß
858	55	Hoan LÕc Trß
859	65	Hoan LÕc Trß
860	75	Hoan LÕc Trß
861	85	Hoan LÕc Trß
862	95	Hoan LÕc Trß
863	55	Höa Tông Yêu ThØ
864	75	Viêm Höa Yêu ThØ
865	65	Huy«n Dñc Ma Thú
866	75	Xuy Huy«n Ma Thú
867	65	Trân KÏ ThØ
868	75	KÏ Lân
869	85	Cát Tß¶ng Miêu
870	5	Trân KÏ ThØ
871	45	Trân KÏ ThØ
872	55	Trân KÏ ThØ
873	85	Ma Nha BÕo Long
874	5	Ðß¶ng Trang ThØ
875	45	Ðß¶ng Trang ThØ
876	55	Ðß¶ng Trang ThØ
877	65	Ðß¶ng Trang ThØ
878	75	Ðß¶ng Trang ThØ
879	85	Ðß¶ng Trang ThØ
880	95	Ðß¶ng Trang ThØ
881	5	Niên Thú
882	45	Niên Thú
883	55	Niên Thú
884	65	Niên Thú
885	75	Niên Thú
886	85	Niên Thú
887	95	Niên Thú
888	5	Uyên ß½ng
889	45	Uyên ß½ng
890	55	Uyên ß½ng
891	65	Uyên ß½ng
892	75	Uyên ß½ng
893	85	Uyên ß½ng
894	95	Uyên ß½ng
895	65	C¥u Long
896	45	Mao Lß
897	55	Mao Lß
898	65	Mao Lß
2200	5	Cùng KÏ
2201	45	Cùng KÏ
2202	55	Cùng KÏ
2203	65	Cùng KÏ
2204	75	Cùng KÏ
2205	85	Cùng KÏ
2206	95	Cùng KÏ
2207	5	Ti¬u H° Tiên
2208	45	Ti¬u H° Tiên
2209	55	Ti¬u H° Tiên
2210	65	Ti¬u H° Tiên
2211	75	Ti¬u H° Tiên
2212	85	Ti¬u H° Tiên
2213	95	Ti¬u H° Tiên
2214	5	Thßþng C± Th¥n Viên
2215	45	Thßþng C± Th¥n Viên
2216	55	Thßþng C± Th¥n Viên
2217	65	Thßþng C± Th¥n Viên
2218	75	Thßþng C± Th¥n Viên
2219	85	Thßþng C± Th¥n Viên
2220	75	C¥u Long
2221	5	TÖ Ñc ði¬u
2222	45	TÖ Ñc ði¬u
2223	55	TÖ Ñc ði¬u
2224	65	TÖ Ñc ði¬u
2225	75	TÖ Ñc ði¬u
2226	85	TÖ Ñc ði¬u
2227	95	TÖ Ñc ði¬u
2228	5	Ng¯c Ng¯c Ngßu
2229	45	Ng¯c Ng¯c Ngßu
2230	55	Ng¯c Ng¯c Ngßu
2231	65	Ng¯c Ng¯c Ngßu
2232	75	Ng¯c Ng¯c Ngßu
2233	85	Ng¯c Ng¯c Ngßu
2234	95	Ng¯c Ng¯c Ngßu
2235	5	Trân KÏ Ngßu
2236	45	Trân KÏ Ngßu
2237	55	Trân KÏ Ngßu
2238	65	Trân KÏ Ngßu
2239	75	Trân KÏ Ngßu
2240	85	Trân KÏ Ngßu
2241	95	Trân KÏ Ngßu
2242	5	KÏ Lân
2243	45	KÏ Lân
2244	55	KÏ Lân
2245	65	KÏ Lân
2246	75	KÏ Lân
2247	85	KÏ Lân
2248	95	KÏ Lân
2249	5	go TØ
2250	45	go TØ
2251	55	go TØ
2252	65	go TØ
2253	75	go TØ
2254	85	go TØ
2255	95	go TØ
2256	85	Th¥n Viên
2257	95	Th¥n Viên
2258	5	Nham H°n
2259	45	Nham H°n
2260	55	Nham H°n
2261	65	Nham H°n
2262	75	Nham H°n
2263	85	Nham H°n
2264	95	Nham H°n
2265	5	Th¤t T¸ch Uyên ¿½ng
2266	45	Th¤t T¸ch Uyên ¿½ng
2267	55	Th¤t T¸ch Uyên ¿½ng
2268	65	Th¤t T¸ch Uyên ¿½ng
2269	75	Th¤t T¸ch Uyên ¿½ng
