INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING
INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING
0	LÕc Dß½ng	320	320	luoyang.Scene	luoyang.path	luoyang.wCollision	luoyang.jpg	18	60000	luoyangscene	0	0	0	0	Sign5	MiniMap_Icon2	LuoYang_Normal	MiniMap_Icon2	LuoYang_Hover	Thành LÕc Dß½ng	0.2;0.2
1	Tô Châu	320	320	suzhou.scene	suzhou.path	suzhou.wCollision	suzhou.jpg	19	60000	suzhouscene	842	489	842	512	Sign7	MiniMap_Icon2	SuZhou_Normal	MiniMap_Icon2	SuZhou_Hover	Thành Tô Châu	0.2;0.2
2	ÐÕi Lý	320	320	dali.Scene	dali.path	dali.wCollision	dali.jpg	101	60000	daliscene	433	671	430	694	Sign9	MiniMap_Icon2	DaLi_Normal	MiniMap_Icon2	DaLi_Hover	Thành ÐÕi Lý	0.2;0.25
3	Tung S½n	320	320	songshan.scene	songshan.path	songshan.wCollision	songshan.jpg	102	60000	songshan	673	478	673	495	Sign1	MiniMap_Icon2	SongShan_Normal	MiniMap_Icon2	SongShan_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 15-21#rLoÕi quái v§t: #r BÕch NgÕch H±, Di Khí Mµc Nhân,#r Di Khí Ð°ng Nhân, Ác Viên,#r Dînh Thüy Lang, Lß Nhai Ð°ng Nhân, #rPhân b¯ nguyên li®u sinh hoÕt (c¤p 1): #r Ð°ng Khoáng MÕch,#r BÕch Anh, B° Hoàng,#r Thäo Ngß (146, 193), #r Thanh Ngß (172, 173).	0.2;0.2
4	Thái H°	320	320	taihu.scene	taihu.path	taihu.wCollision	taihu.jpg	102	60000	taihuscene	789	446	789	462	Sign1	MiniMap_Icon2	TaiHu_Normal	MiniMap_Icon2	TaiHu_Hover	Trß¶ng cänh dã ngoÕi#rPhân b¯ nguyên li®u sinh hoÕt (c¤p 1): #rÐ°ng Khoáng MÕch,#r BÕch Anh, B° Hoàng,#r Thäo Ngß (94, 147), #r Thanh Ngß (96, 158).	0.2;0.25
5	Kính H°	320	320	jinghu.scene	jinghu.path	jinghu.wCollision	jinghu.jpg	103	60000	jinghuscene	735	573	735	590	Sign1	MiniMap_Icon2	JingHu_Normal	MiniMap_Icon2	JingHu_Hover	Trß¶ng cänh dã ngoÕi#rPhân b¯ nguyên li®u sinh hoÕt (c¤p 1): #rÐ°ng Khoáng MÕch,#r BÕch Anh, B° Hoàng,#r Thäo Ngß (94, 147), #r Thanh Ngß (96, 158).	0.2;0.25
6	Vô Lßþng S½n	320	320	wuliang.scene	wuliang.path	wuliang.wCollision	wuliangshan.jpg	122	60000	wuliangscene	530	685	530	703	Sign1	MiniMap_Icon	WuLiangShan_Normal	MiniMap_Icon	WuLiangShan_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 1-10#rLoÕi quái v§t: #rCao S½n BÕch Viên, ÐÕi Hoàng Phong, #r Thi¬m Ði®n Báo, S½n Thù, #r Lß Vi Thäo Nhân, #rPhân b¯ nguyên li®u sinh hoÕt (c¤p 1): #rÐ°ng Khoáng MÕch, #r BÕch Anh, B° Hoàng, #r Thäo Ngß (175, 208), #r Thanh Ngß (161, 223).	0.2;0.25
7	Kiªm Các	320	320	jiange.scene	jiange.path	jiange.wCollision	jiange.jpg	20	60000	jiangescene	368	488	369	509	Sign1	MiniMap_Icon2	JianGe_Normal	MiniMap_Icon2	JianGe_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 1-10#rLoÕi quái v§t: #rThøc ÐÕo BÕch Viên, Thøc ÐÕo H¡c Viên, #r BÕch Mao Thäo Nhân, QuÖ Di®n Chu Nho, #r Du Mµc Kh±i L²i, #rPhân b¯ nguyên li®u sinh hoÕt (c¤p 1): #rÐ°ng Khoáng MÕch, #r BÕch Anh, B° Hoàng, #r Thäo Ngß (60, 60), #r Thanh Ngß (88, 220).	0.2;0.2
8	Ðôn Hoàng	320	320	dunhuang.scene	dunhuang.path	dunhuang.wCollision	dunhuang.jpg	104	60000	dunhuangscene	365	240	365	256	Sign1	MiniMap_Icon2	DunHuang_Normal	MiniMap_Icon2	DunHuang_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 9-16#rLoÕi quái v§t: #rSa Pha Lang, Tàn Phá Binh Dûng, #r Hoang Nguyên Báo, Du Mµc Kh±i L²i, #r Sa MÕc Mã Phï, Ác Viên, #rPhân b¯ nguyên li®u sinh hoÕt (c¤p 1): #rÐ°ng Khoáng MÕch, #r BÕch Anh, B° Hoàng, #r Thäo Ngß (223, 166), #r Thanh Ngß (248, 201).	0.2;0.15
9	Thiªu Lâm Tñ	192	192	shaolin.Scene	shaolin.path	shaolin.WCollision	shaolin.jpg	105	60000	shaolinscene	692	415	692	435	Sign10	MiniMap_Icon	ShaoLinSi_Normal	MiniMap_Icon	ShaoLinSi_Hover	Môn phái #rT±ng ðà phái Thiªu Lâm	0.2;0.25
10	Cái Bang T±ng Ðà	192	192	gaibang.scene	gaibang.path	gaibang.wCollision	gaibang.jpg	102	60000	gaibangscene	779	321	779	340	Sign10	CommonStaticImage5	GaiBangZongDuo_Normal	CommonStaticImage5	GaiBangZongDuo_Hover	Môn phái #rT±ng ðà phái Cái Bang	0.2;0.2
11	Quang Minh Ði®n	192	192	mingjiao.scene	mingjiao.path	mingjiao.wCollision	mingjiao.jpg	106	60000	mingjiaoscene	729	362	731	382	Sign6	MiniMap_Icon	GuangMingDing_Normal	MiniMap_Icon	GuangMingDing_Hover	Môn phái #rT±ng ðà Minh giáo	0.25;0.3
12	Núi Võ Ðang	144	224	wudang.scene	wudang.path	wudang.wCollision	wudang.jpg	102	60000	wudangscene	634	555	634	573	Sign6	MiniMap_Icon	WuDangShan_Normal	MiniMap_Icon	WuDangShan_Hover	Môn phái #rT±ng ðà phái Võ Ðang	0.2;0.2
13	Thiên Long Tñ	192	192	tianlong.scene	tianlong.path	tianlong.wCollision	tianlong.jpg	105	60000	tianlongscene	508	748	508	767	Sign10	CommonStaticImage5	TianLongSi_Normal	CommonStaticImage5	TianLongSi_Hover	Môn phái#r Thiên Long Phái T±ng Ðà	0.2;0.3
14	Ðµng Lång Ba	192	192	xiaoyao.scene	xiaoyao.path	xiaoyao.wCollision	xiaoyao.jpg	107	60000	xiaoyaoscene	504	627	504	644	Sign6	MiniMap_Icon	LingBoDong_Normal	MiniMap_Icon	LingBoDong_Hover	Môn phái #rT±ng ðà phái Tiêu Dao	0.2;0.3
15	Nga My S½n	192	192	emei.scene	emei.path	emei.wCollision	emei.jpg	108	60000	emeiscene	368	571	370	592	Sign6	MiniMap_Icon	EMeiShan_Normal	MiniMap_Icon	EMeiShan_Hover	Môn phái #rT±ng ðà phái Nga My	0.2;0.2
