INT	INT	STRING	INT	INT	INT	STRING	INT	INT	STRING
ID	RaceID	ShowName$1$	ÏûºÄÎïÆ·ID	ÏûºÄÎïÆ·ÊýÁ¿	ÊÇ·ñÔÚ³õÊ¼Ê±¿ÉÑ¡(0±íÊ¾ÓÎÏ·ÖÐ£¬³õÊ¼Ê±¶¼²»¿ÉÑ¡£¬1±íÊ¾Ö»ÓÐ³õÊ¼Ê±¿ÉÑ¡£¬2±íÊ¾Ö»ÓÐÔÚÓÎÏ·ÖÐ¿ÉÑ¡£¬3±íÊ¾ÓÎÏ·ÖÐ£¬³õÊ¼Ê±¶¼¿ÉÑ¡)	Í·ÏñµÄÍ¼±ê	ÏûºÄ½ðÇ®	GroupID	TitleInfo$1$
1	0	Ði®p Mµng	30008039	1	3	GirlProtagonist_1	50000	1	Ði®p Mµng
2	0	Nhßþc ThuÖ	30008039	1	3	GirlProtagonist_2	50000	2	Nhßþc ThuÖ
3	0	Vân Mi¬u	30008039	1	3	GirlProtagonist_3	50000	3	Vân Mi¬u
4	0	HuÏnh Mo£c	30008039	1	3	GirlProtagonist_4	50000	4	HuÏnh Mo£c
5	0	U Ðàm	30008039	1	3	GirlProtagonist_5	50000	5	U Ðàm
6	0	Ngßng Quang	30008039	1	3	GirlProtagonist_6	50000	6	Ngßng Quang
7	0	Lan Chï	30008039	1	3	GirlProtagonist_7	50000	7	Lan Chï
8	0	H°ng Liên	30008039	1	3	GirlProtagonist_8	50000	8	H°ng Liên
9	0	Lßu Ly	30008039	1	3	GirlProtagonist_9	50000	9	Lßu Ly
10	0	Dß½ng Vû	30008039	1	3	GirlProtagonist_10	50000	10	Dß½ng Vû
11	0	Tiên Vinh	30008039	1	3	GirlProtagonist_11	50000	11	Tiên Vinh
12	0	C¦m S¡t	30008039	1	3	GirlProtagonist_12	50000	12	C¦m S¡t
13	1	Vân Hoang	30008039	1	3	ManProtagonist_1	50000	13	Vân Hoang
14	1	Thanh Phong	30008039	1	3	ManProtagonist_2	50000	14	Thanh Phong
15	1	CØu Tiêu	30008039	1	3	ManProtagonist_3	50000	15	CØu Tiêu
16	1	Lßu Änh	30008039	1	3	ManProtagonist_4	50000	16	Lßu Änh
17	1	Tinh H°n	30008039	1	3	ManProtagonist_5	50000	17	Tinh H°n
18	1	Thanh Sß½ng	30008039	1	3	ManProtagonist_6	50000	18	Thanh Sß½ng
19	1	Phong Nhã	30008039	1	3	ManProtagonist_7	50000	19	Phong Nhã
20	1	Sóc Phong	30008039	1	3	ManProtagonist_8	50000	20	Sóc Phong
21	1	Kim Qua	30008039	1	3	ManProtagonist_9	50000	21	Kim Qua
22	1	TØ Câm	30008039	1	3	ManProtagonist_10	50000	22	TØ Câm
23	1	Quy Tà	30008039	1	3	ManProtagonist_11	50000	23	Quy Tà
24	1	Li®p Dß½ng	30008039	1	3	ManProtagonist_12	50000	24	Li®p Dß½ng
25	0	Tâm Liên	30008039	1	2	GirlProtagonist_13	50000	25	Tâm Liên
26	0	Huy«n Nguy®t	30008039	1	2	GirlProtagonist_14	50000	26	Huy«n Nguy®t
27	0	Vong ßu	30008039	1	2	GirlProtagonist_15	50000	27	Vong ßu
28	0	Tuyªt HuÏnh	30008039	1	2	GirlProtagonist_16	50000	28	Tuyªt HuÏnh
29	1	HÕo Thiên	30008039	1	2	ManProtagonist_13	50000	29	HÕo Thiên
30	1	HÕc Mµng	30008039	1	2	ManProtagonist_14	50000	30	HÕc Mµng
31	1	Hành Ca	30008039	1	2	ManProtagonist_15	50000	31	Hành Ca
32	1	Thß½ng Lang	30008039	1	2	ManProtagonist_16	50000	32	Thß½ng Lang
33	0	Nhß Ng÷c	30008039	1	2	GirlProtagonist_17	50000	33	Nhß Ng÷c
34	0	Tr¥m Phi	30008039	1	2	GirlProtagonist_18	50000	34	Tr¥m Phi
35	0	Vân Änh	30008039	1	2	GirlProtagonist_19	50000	35	Vân Änh
36	0	LÕc Du	30008039	1	2	GirlProtagonist_20	50000	36	LÕc Du
37	1	Hàn Ðß¶ng	30008039	1	2	ManProtagonist_17	50000	37	Hàn Ðß¶ng
38	1	MÕc Ngôn	30008039	1	2	ManProtagonist_18	50000	38	MÕc Ngôn
39	1	Thß½ng DÕ	30008039	1	2	ManProtagonist_19	50000	39	Thß½ng DÕ
40	1	Truy Vân	30008039	1	2	ManProtagonist_20	50000	40	Truy Vân
41	0	Ngßng Lam	30008039	1	2	GirlProtagonist_21	50000	41	Ngßng Lam
42	0	Nhßþc ßu	30008039	1	2	GirlProtagonist_22	50000	42	Nhßþc ßu
43	1	M£c Hàn	30008039	1	2	ManProtagonist_21	50000	43	M£c Hàn
44	1	MÕn Tinh	30008039	1	2	ManProtagonist_22	50000	44	MÕn Tinh
45	1	Tß NgÕo	30008039	1	2	ManProtagonist_23	50000	45	Tß NgÕo
46	0	Nghiên Nguy®t	30008039	1	2	GirlProtagonist_23	50000	46	Nghiên Nguy®t
47	1	Mµc Phong	30008039	1	2	ManProtagonist_24	50000	47	Mµc Phong
48	0	Linh San	30008039	1	2	GirlProtagonist_24	50000	48	Linh San
49	0	Thanh Dînh	30008039	1	3	GirlProtagonist_25	50000	49	Thanh Dînh
50	0	MÕch Nhã	30008039	1	3	GirlProtagonist1_1	50000	50	MÕch Nhã
51	0	Linh Thù	30008039	1	3	GirlProtagonist1_2	50000	51	Linh Thù
52	1	Côn Lôn	30008039	1	3	ManProtagonist_25	50000	52	Côn Lôn
53	1	Tu® Linh	30008039	1	3	ManProtagonist1_1	50000	53	Tu® Linh
54	1	C§t NgÕo	30008039	1	3	ManProtagonist1_2	50000	54	C§t NgÕo
55	0	Thüy Bích	30008039	1	2	GirlProtagonist1_3	50000	55	Thüy Bích
56	1	khê Phong	30008039	1	2	ManProtagonist1_3	50000	56	khê Phong
57	0	Lam Hình	30008039	1	2	GirlProtagonist1_4	50000	57	Lam Hình
58	1	Thß Ni®m	30008039	1	2	ManProtagonist1_4	50000	58	Thß Ni®m
59	0	Mµ Hoa	30008039	1	2	GirlProtagonist1_5	50000	59	Mµ Hoa
60	1	Vân Tiêu	30008039	1	2	ManProtagonist1_5	50000	60	Vân Tiêu
61	0	TØ Phinh	30008039	1	2	GirlProtagonist1_6	50000	61	TØ Phinh
62	1	Tà Mâu	30008039	1	2	ManProtagonist1_6	50000	62	Tà Mâu
63	0	Tr¥m Nguy®t	30008039	1	2	GirlProtagonist1_7	50000	63	Tr¥m Nguy®t
64	1	Ánh Huy	30008039	1	2	ManProtagonist1_7	50000	64	Ánh Huy
65	0	Yên H°ng	30008039	1	2	GirlProtagonist1_8	50000	65	Yên H°ng
66	1	MÕc Vân	30008039	1	2	ManProtagonist1_8	50000	66	MÕc Vân
67	0	Th¸ NgÕo	30008039	1	2	GirlProtagonist1_9	50000	67	Th¸ NgÕo
68	1	Lång Nhân	30008039	1	2	ManProtagonist1_9	50000	68	Lång Nhân
69	0	Linh Tinh	30008039	1	2	GirlProtagonist1_10	50000	69	Linh Tinh
70	1	Huyªt Nguy®t	30008039	1	2	ManProtagonist1_10	50000	70	Huyªt Nguy®t
71	0	Khuynh Thành	30008039	1	2	GirlProtagonist1_11	50000	71	Khuynh Thành
72	1	D§t Tiên	30008039	1	2	ManProtagonist1_11	50000	72	D§t Tiên
73	0	Tiên Xu	30008039	1	2	GirlProtagonist1_12	50000	73	Tiên Xu
74	1	Lçm NgÕo	30008039	1	2	ManProtagonist1_12	50000	74	Lçm NgÕo
75	0	Ng÷c Fân	30008039	1	2	GirlProtagonist1_13	50000	75	Ng÷c Fân
76	1	NgÕo Fân	30008039	1	2	ManProtagonist1_13	50000	76	NgÕo Fân
77	0	Dao Tiên	30008039	1	2	GirlProtagonist1_14	50000	77	Dao Tiên
78	1	Døc Th¥n	30008039	1	2	ManProtagonist1_14	50000	78	Døc Th¥n
79	0	Ng÷c Dung	30008039	1	2	GirlProtagonist1_15	50000	79	Ng÷c Dung
80	1	Tu¤n D§t	30008039	1	2	ManProtagonist1_15	50000	80	Tu¤n D§t
81	0	Giai Nhân	30008039	1	2	GirlProtagonist1_16	50000	81	Giai Nhân
82	1	Tu¤n Tú	30008039	1	2	ManProtagonist1_16	50000	82	Tu¤n Tú
83	0	M£t Mày	30008039	1	2	GirlProtagonist1_17	50000	83	M£t Mày
84	1	Xích Nhi­m	30008039	1	2	ManProtagonist1_17	50000	84	Xích Nhi­m
85	0	Dã Di­m	30008039	1	2	GirlProtagonist1_18	50000	85	Dã Di­m
86	1	Tu¤n Phong	30008039	1	2	ManProtagonist1_18	50000	86	Tu¤n Phong
87	0	Tú Tu®	30008039	1	2	GirlProtagonist1_19	50000	87	Tú Tu®
88	1	Th¥n D¸ch	30008039	1	2	ManProtagonist1_19	50000	88	Th¥n D¸ch
89	0	Ð°ng Nhân	30008039	1	2	GirlProtagonist1_21	50000	89	Ð°ng Nhân
90	1	Vô Nhai	30008039	1	2	ManProtagonist1_21	50000	90	Vô Nhai
91	0	Kinh Mµng	30008039	1	2	GirlProtagonist1_22	50000	91	Kinh Mµng
92	1	Trích Tiên	30008039	1	2	ManProtagonist1_22	50000	92	Trích Tiên
93	0	Mµng Tiên	30008039	1	2	GirlProtagonist1_23	50000	93	Mµng Tiên
94	1	Linh Th¥n	30008039	1	2	ManProtagonist1_23	50000	94	Linh Th¥n
95	0	Nguy®t Dung	30008039	1	2	GirlProtagonist1_24	50000	95	Nguy®t Dung
96	1	Ng÷c MÕo	30008039	1	2	ManProtagonist1_24	50000	96	Ng÷c MÕo
97	0	Ngàn Ki«u	30008039	1	2	GirlProtagonist1_25	50000	97	Ngàn Ki«u
98	1	Quan Ng÷c	30008039	1	2	ManProtagonist1_25	50000	98	Quan Ng÷c
99	0	Ph¤n ÐÕi	30008039	1	2	GirlProtagonist2_1	50000	99	Ph¤n ÐÕi
100	1	Triêu Huy	30008039	1	2	ManProtagonist2_1	50000	100	Triêu Huy
