INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
装备外形ID	ID_1	ID_2	ID_3	ID_4	ID_5	ID_6	ID_7	ID_8	ID_9	ID_10	Item_ID

664	688	667	664	674	671	677	680	683	685	720	30900004
665	689	668	665	673	670	676	679	682	686	721	30900004
666	690	669	666	675	672	678	681	684	687	719	30900004
667	688	667	664	674	671	677	680	683	685	720	30900004
668	689	668	665	673	670	676	679	682	686	721	30900004
669	690	669	666	675	672	678	681	684	687	719	30900004
670	689	668	665	673	670	676	679	682	686	721	30900004
671	688	667	664	674	671	677	680	683	685	720	30900004
672	690	669	666	675	672	678	681	684	687	719	30900004
673	689	668	665	673	670	676	679	682	686	721	30900004
674	688	667	664	674	671	677	680	683	685	720	30900004
675	690	669	666	675	672	678	681	684	687	719	30900004
676	689	668	665	673	670	676	679	682	686	721	30900004
677	688	667	664	674	671	677	680	683	685	720	30900004
678	690	669	666	675	672	678	681	684	687	719	30900004
679	689	668	665	673	670	676	679	682	686	721	30900004
680	688	667	664	674	671	677	680	683	685	720	30900004
681	690	669	666	675	672	678	681	684	687	719	30900004
682	689	668	665	673	670	676	679	682	686	721	30900004
683	688	667	664	674	671	677	680	683	685	720	30900004
684	690	669	666	675	672	678	681	684	687	719	30900004
685	688	667	664	674	671	677	680	683	685	720	30900004
686	689	668	665	673	670	676	679	682	686	721	30900004
687	690	669	666	675	672	678	681	684	687	719	30900004
688	688	667	664	674	671	677	680	683	685	720	30900004
689	689	668	665	673	670	676	679	682	686	721	30900004
690	690	669	666	675	672	678	681	684	687	719	30900004

709	711	713	709	714	717	710	716	715	712	718	30900004
710	711	713	709	714	717	710	716	715	712	718	30900004
711	711	713	709	714	717	710	716	715	712	718	30900004
712	711	713	709	714	717	710	716	715	712	718	30900004
713	711	713	709	714	717	710	716	715	712	718	30900004
714	711	713	709	714	717	710	716	715	712	718	30900004
715	711	713	709	714	717	710	716	715	712	718	30900004
716	711	713	709	714	717	710	716	715	712	718	30900004
717	711	713	709	714	717	710	716	715	712	718	30900004
718	711	713	709	714	717	710	716	715	712	718	30900004

719	690	669	666	675	672	678	681	684	687	719	30900004
720	688	667	664	674	671	677	680	683	685	720	30900004
721	689	668	665	673	670	676	679	682	686	721	30900004

932	934	936	932	937	940	933	939	938	935	941	30900004
933	934	936	932	937	940	933	939	938	935	941	30900004
934	934	936	932	937	940	933	939	938	935	941	30900004
935	934	936	932	937	940	933	939	938	935	941	30900004
936	934	936	932	937	940	933	939	938	935	941	30900004
937	934	936	932	937	940	933	939	938	935	941	30900004
938	934	936	932	937	940	933	939	938	935	941	30900004
939	934	936	932	937	940	933	939	938	935	941	30900004
940	934	936	932	937	940	933	939	938	935	941	30900004
941	934	936	932	937	940	933	939	938	935	941	30900004

942	944	946	942	947	950	943	949	958	945	951	30900004
943	944	946	942	947	950	943	949	958	945	951	30900004
944	944	946	942	947	950	943	949	958	945	951	30900004
945	944	946	942	947	950	943	949	958	945	951	30900004
946	944	946	942	947	950	943	949	958	945	951	30900004
947	944	946	942	947	950	943	949	958	945	951	30900004
948	954	956	952	957	960	953	959	948	955	961	30900004
949	944	946	942	947	950	943	949	958	945	951	30900004
950	944	946	942	947	950	943	949	958	945	951	30900004
951	944	946	942	947	950	943	949	958	945	951	30900004
952	954	956	952	957	960	953	959	948	955	961	30900004
953	954	956	952	957	960	953	959	948	955	961	30900004
954	954	956	952	957	960	953	959	948	955	961	30900004
955	954	956	952	957	960	953	959	948	955	961	30900004
956	954	956	952	957	960	953	959	948	955	961	30900004
957	954	956	952	957	960	953	959	948	955	961	30900004
958	944	946	942	947	950	943	949	958	945	951	30900004
959	954	956	952	957	960	953	959	948	955	961	30900004
960	954	956	952	957	960	953	959	948	955	961	30900004
961	954	956	952	957	960	953	959	948	955	961	30900004
962	964	966	962	967	970	963	969	968	965	971	30900004
963	964	966	962	967	970	963	969	968	965	971	30900004
964	964	966	962	967	970	963	969	968	965	971	30900004
965	964	966	962	967	970	963	969	968	965	971	30900004
966	964	966	962	967	970	963	969	968	965	971	30900004
967	964	966	962	967	970	963	969	968	965	971	30900004
968	964	966	962	967	970	963	969	968	965	971	30900004
969	964	966	962	967	970	963	969	968	965	971	30900004
970	964	966	962	967	970	963	969	968	965	971	30900004
971	964	966	962	967	970	963	969	968	965	971	30900004

10001	2	3	4	5	6	7	8	9	10	11	30900004
10031	32	33	34	35	36	37	38	39	40	41	30900004
10061	62	63	64	65	66	67	68	69	70	71	30900004
10100	101	102	103	104	105	106	107	108	109	110	30900004
20001	2	3	4	5	6	7	8	9	10	11	30900004
20061	62	63	64	65	66	67	68	69	70	71	30900004
20121	122	123	124	125	126	127	128	129	130	131	30900004
20181	182	183	184	185	186	187	188	189	190	191	30900004
20241	242	243	244	245	246	247	248	249	250	251	30900004
20301	302	303	304	305	306	307	308	309	310	311	30900004
