INT	INT	INT	INT
INT	INT	INT	INT
32101000	32101000	32101000	10000
32101001	32101001	32101001	10000
32101002	32101002	32101002	10000
32101003	32101003	32101003	10000
32101004	32101004	32101004	10000
32101005	32101005	32101005	10000
32101006	32101006	32101006	10000
32101007	32101007	32101007	10000
32101008	32101008	32101008	10000
32101009	32101009	32101009	10000
32101010	32101010	32101010	10000
32101011	32101011	32101011	10000
32101012	32101012	32101012	10000
32101013	32101013	32101013	10000
32101014	32101014	32101014	10000
32101015	32101015	32101015	10000
32101016	32101016	32101016	10000
32101017	32101017	32101017	10000
32101018	32101018	32101018	10000
32101019	32101019	32101019	10000
32101021	32101021	32101021	10000
32101024	32101024	32101024	10000
32101026	32101026	32101026	10000
32101027	32101027	32101027	10000
32101028	32101028	32101028	10000
32101029	32101029	32101029	10000
32101030	32101030	32101030	10000
32101031	32101031	32101031	10000
32101032	32101032	32101032	10000
32101033	32101033	32101033	10000
32101034	32101034	32101034	10000
32101035	32101035	32101035	10000
32101036	32101036	32101036	10000
32101037	32101037	32101037	10000
32101038	32101038	32101038	10000
32101039	32101039	32101039	10000
32101040	32101040	32101040	10000
32101041	32101041	32101041	10000
32101042	32101042	32101042	10000
32101043	32101043	32101043	10000
32101044	32101044	32101044	10000
32101045	32101045	32101045	10000
32101046	32101046	32101046	10000
32101047	32101047	32101047	10000
32101048	32101048	32101048	10000
32101049	32101049	32101049	10000
32101050	32101050	32101050	10000
32101051	32101051	32101051	10000
32101052	32101052	32101052	10000
32101053	32101053	32101053	10000
32101054	32101054	32101054	10000
32101055	32101055	32101055	10000
32101056	32101056	32101056	10000
32101057	32101057	32101057	10000
32101058	32101058	32101058	10000
32101059	32101059	32101059	10000
32101060	32101060	32101060	10000
32101061	32101061	32101061	10000
32101062	32101062	32101062	10000
32101063	32101063	32101063	10000
32101064	32101064	32101064	10000
32101077	32101077	32101077	10000
32101084	32101084	32101084	10000
32101087	32101087	32101087	10000
32101092	32101092	32101092	10000
32101093	32101093	32101093	10000
32101102	32101102	32101102	10000
32101103	32101103	32101103	10000
32101104	32101104	32101104	10000

50102001	50102005	30900026	10000
50102002	50102006	30900026	10000
50102003	50102007	30900026	10000
50102004	50102008	30900026	10000
50112001	50112005	30900026	10000
50112002	50112006	30900026	10000
50112003	50112007	30900026	10000
50112004	50112008	30900026	10000
50202001	50202005	30900027	20000
50202002	50202006	30900027	20000
50202003	50202007	30900027	20000
50202004	50202008	30900027	20000
50212001	50212005	30900027	20000
50212002	50212006	30900027	20000
50212003	50212007	30900027	20000
50212004	50212008	30900027	20000
50302001	50302005	30900028	30000
50302002	50302006	30900028	30000
50302003	50302007	30900028	30000
50302004	50302008	30900028	30000
50312001	50312005	30900028	30000
50312002	50312006	30900028	30000
50312003	50312007	30900028	30000
50312004	50312008	30900028	30000
50402001	50402005	30900029	40000
50402002	50402006	30900029	40000
50402003	50402007	30900029	40000
50402004	50402008	30900029	40000
50412001	50412005	30900029	40000
50412002	50412006	30900029	40000
50412003	50412007	30900029	40000
50412004	50412008	30900029	40000
50502001	50502005	30900030	50000
50502002	50502006	30900030	50000
50502003	50502007	30900030	50000
50502004	50502008	30900030	50000
50512001	50512005	30900030	50000
50512002	50512006	30900030	50000
50512003	50512007	30900030	50000
50512004	50512008	30900030	50000
50602001	50602005	30900031	60000
50602002	50602006	30900031	60000
50602003	50602007	30900031	60000
50602004	50602008	30900031	60000
50612001	50612005	30900031	60000
50612002	50612006	30900031	60000
50612003	50612007	30900031	60000
50612004	50612008	30900031	60000
50702001	50702005	30900032	70000
50702002	50702006	30900032	70000
50702003	50702007	30900032	70000
50702004	50702008	30900032	70000
50712001	50712005	30900032	70000
50712002	50712006	30900032	70000
50712003	50712007	30900032	70000
50712004	50712008	30900032	70000
50802001	50802005	30900033	80000
50802002	50802006	30900033	80000
50802003	50802007	30900033	80000
50802004	50802008	30900033	80000
50812001	50812005	30900033	80000
50812002	50812006	30900033	80000
50812003	50812007	30900033	80000
50812004	50812008	30900033	80000
50902001	50902005	30900034	90000
50902002	50902006	30900034	90000
50902003	50902007	30900034	90000
50902004	50902008	30900034	90000
50912001	50912005	30900034	90000
50912002	50912006	30900034	90000
50912003	50912007	30900034	90000
50912004	50912008	30900034	90000
