INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
¹ÖÎï±àºÅ	Ãû³Æ$1$	¹ÖÎïÐÔ±ð	µÈ¼¶	»ù´¡¾­Ñé»ñµÃ	ÓÑºÃÖµ	ÐÝÏÐ¼ä¸ôÊ±¼ä	»ù´¡AI	À©Õ¹AI	ÕóÓª	µôÂä·ÖÅä°ë¾¶(Ã×)	µôÂä×î´óÓÐÐ§×é	×îÐ¡ÉËÑª°Ù·Ö±È	ÊÇ·ñ¿ÉÒÔ½»»¥	BOSS±ê¼Ç	ÎïÀí¹¥»÷	ÎïÀí·ÀÓù	Ä§·¨¹¥»÷	Ä§·¨·ÀÓù	HPÉÏÏÞ	MPÉÏÏÞ	HP»Ø¸´	MP»Ø¸´	ÃüÖÐÂÊ	ÉÁ±Ü	»áÐÄÂÊ	»áÐÄ·ÀÓù	ÒÆ¶¯ËÙ¶È	²½ÐÐËÙ¶È	¹¥»÷ËÙ¶È	±ù¹¥»÷	±ù·ÀÓù	½µµÍÄ¿±ê±ùµÖ¿¹	»ð¹¥»÷	»ð·ÀÓù	½µµÍÄ¿±ê»ðµÖ¿¹	µç¹¥»÷	µç·ÀÓù	½µµÍÄ¿±êÐþµÖ¿¹	¶¾¹¥»÷	¶¾·ÀÓù	½µµÍÄ¿±ê¶¾µÖ¿¹	Ë²Ê±Ð§¹ûÃâÒßID	³ÖÐøÐ§¹ûÃâÒßID	ÍâÐÍID	ÊÇ·ñÏÔÊ¾Í·¶¥ÐÅÏ¢°å	×ªÏòÄ£Ê½	Ãû×Ö°å¸ß¶È	Ñ¡ÖÐ»·´óÐ¡	ÒõÓ°´óÐ¡	ÈËÎïÍ·Ïñ	¹¥»÷¶¯×÷Ê±¼ä	¹¥»÷ÀäÈ´Ê±¼ä	MaxLv	MaxExp	MaxAtt	MaxDef	MaxMag	MaxRes	MaxHP	ÊÇ·ñÔÚÐ¡µØÍ¼ÉÏÏÔÊ¾	ÊÆÁ¦ID	¹¥»÷ÌØÐÔID	ÊÇ·ñ¹¥»÷NPC	ÊÇ·ñ²¥·ÅÈÚºÏ£¬ÉÁ±Ü£¬¸éµ²¶¯×÷	Íâ¹ÛÀàÐÍ	Ç¿¶ÈÀàÐÍ	½»»¥·½Ê½	¼¤»îÊ±¼ä	Õ½¶··½Ê½
0	Ðoàn Dñ	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	12	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_3	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	15	10	0	0	2	1	0	0	0
1	Tiêu Phong	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	57	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	13	10	0	0	2	1	0	0	0
2	Hß Trúc	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	226	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_1	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	8	10	0	0	2	1	0	0	0
4	Mµ Dung Phøc	1	114	1926	0	10	3	-1	8	20	1	0.1	1	0	3966	1490	3966	1490	30771	3606	0	0	2310	220	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	118	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_5	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0
5	A Châu	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	121	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_11	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0
6	A TØ	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	95	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_10	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	6	10	0	0	2	1	0	0	0
7	Du Thän Chi	1	105	1765	0	10	3	-1	8	20	1	0.1	1	0	3654	1373	3654	1373	26580	3322	0	0	2129	202	9	9	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	72	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_4	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0
8	Ðinh Xuân Thu	1	109	1830	0	10	3	-1	8	20	1	0.1	1	0	3793	1425	3793	1425	27588	3448	0	0	2210	210	9	9	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	11	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_5	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	6	10	0	0	2	1	0	0	0
9	Ðoàn Chính Minh	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	125	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_6	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	15	10	0	0	2	1	0	0	0
