INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	246	111.2798	30.2798
2	246	109.2798	63.2798
3	246	106.2798	66.2798
4	246	103.2798	73.2798
5	246	48.2798	98.2798
6	246	50.2798	98.2798
7	246	25.2798	98.2798
8	246	32.2798	98.2798
9	246	39.2798	98.2798
10	246	42.2798	98.2798
11	246	46.2798	98.2798
12	246	26.8638	96.2222
13	246	27.8638	96.2222
14	246	29.8638	96.2222
15	246	22.8638	96.2222
16	246	16.2798	95.3243
17	246	19.5725	95.8533
18	246	103.2798	28.2798
19	246	29.2798	22.2798
20	246	26.2798	28.2798
21	246	24.2798	33.2798
22	246	20.2798	36.2798
23	246	14.2798	36.2798
